----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.2.0.9001--------------------------
-------------------------2026-04-09T16:11:49--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.19045---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
-----------------------------.NET 8.0.21------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 7.84 GB---------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2026-04-09T16:17:24.7195|INFO|DomeVM.cs|Disconnect|355|Disconnected Dome Device
2026-04-09T16:17:24.7245|INFO|FlatDeviceVM.cs|Disconnect|289|Disconnected Flat Device
2026-04-09T16:17:24.7374|INFO|CameraVM.cs|Disconnect|650|Disconnected Camera
2026-04-09T16:17:24.7500|INFO|TelescopeVM.cs|Disconnect|740|Disconnected mount
2026-04-09T16:17:24.7537|INFO|FilterWheelVM.cs|Disconnect|333|Disconnected Filter Wheel
2026-04-09T16:17:24.7575|INFO|FocuserVM.cs|Disconnect|441|Disconnected Focuser
2026-04-09T16:17:24.7623|INFO|RotatorVM.cs|Disconnect|447|Disconnected Rotator
2026-04-09T16:17:24.7661|INFO|SwitchVM.cs|Disconnect|309|Disconnected Switch
2026-04-09T16:17:24.7708|INFO|WeatherDataVM.cs|Disconnect|305|Disconnected Weather Device
2026-04-09T16:17:24.7744|INFO|SafetyMonitorVM.cs|Disconnect|221|Disconnected Safety Monitor
2026-04-09T16:17:25.5873|INFO|API.cs|StopWatchers|86|Stopping all event watchers
2026-04-09T16:17:25.6230|INFO|NightSummaryPlugin.cs|Teardown|230|NightSummary: Plugin torn down
